date,co2
1958-03-01,316.1
1958-04-01,317.20000000000005
1958-05-01,317.43333333333334
1958-06-01,315.625
1958-07-01,315.625
1958-08-01,314.95000000000005
1958-09-01,313.5
1958-10-01,313.425
1958-11-01,313.425
1958-12-01,314.7
1959-01-01,315.5
1959-02-01,316.7
1959-03-01,316.73333333333335
1959-04-01,317.675
1959-05-01,318.325
1959-06-01,318.02500000000003
1959-07-01,316.525
1959-08-01,314.9
1959-09-01,313.825
1959-10-01,313.4
1959-11-01,314.875
1959-12-01,315.52500000000003
1960-01-01,316.38
1960-02-01,316.975
1960-03-01,317.575
1960-04-01,319.12
1960-05-01,319.925
1960-06-01,319.45
1960-07-01,318.06
1960-08-01,315.775
1960-09-01,314.175
1960-10-01,313.84000000000003
1960-11-01,315.025
1960-12-01,316.2
1961-01-01,316.925
1961-02-01,317.65
1961-03-01,318.525
1961-04-01,319.41999999999996
1961-05-01,320.475
1961-06-01,319.75
1961-07-01,318.32
1961-08-01,316.77500000000003
1961-09-01,315.03999999999996
1961-10-01,315.34999999999997
1961-11-01,316.05
1961-12-01,316.98
1962-01-01,317.925
1962-02-01,318.625
1962-03-01,319.67999999999995
1962-04-01,320.55
1962-05-01,320.9
1962-06-01,320.50000000000006
1962-07-01,319.425
1962-08-01,317.7333333333333
1962-09-01,316.06666666666666
1962-10-01,315.475
1962-11-01,316.54999999999995
1962-12-01,317.52500000000003
1963-01-01,318.725
1963-02-01,318.96666666666664
1963-03-01,319.86
1963-04-01,321.275
1963-05-01,322.09999999999997
1963-06-01,321.4599999999999
1963-07-01,319.6
1963-08-01,317.6
1963-09-01,316.15
1963-10-01,316.05
1963-11-01,317.0
1963-12-01,318.35
1964-01-01,319.40000000000003
1964-02-01,322.0
1964-03-01,322.0
1964-04-01,322.0
1964-05-01,322.0
1964-06-01,321.75
1964-07-01,320.3
1964-08-01,318.5
1964-09-01,316.6
1964-10-01,316.96000000000004
1964-11-01,317.725
1964-12-01,318.67499999999995
1965-01-01,319.4
1965-02-01,320.45
1965-03-01,320.92499999999995
1965-04-01,322.0
1965-05-01,322.06
1965-06-01,321.775
1965-07-01,321.0400000000001
1965-08-01,318.725
1965-09-01,317.825
1965-10-01,317.34
1965-11-01,318.875
1965-12-01,319.325
1966-01-01,320.53999999999996
1966-02-01,321.575
1966-03-01,322.375
1966-04-01,323.66
1966-05-01,324.025
1966-06-01,323.7
1966-07-01,322.85
1966-08-01,320.20000000000005
1966-09-01,318.7
1966-10-01,318.17999999999995
1966-11-01,319.90000000000003
1966-12-01,321.06
1967-01-01,322.4
1967-02-01,322.42499999999995
1967-03-01,323.0
1967-04-01,324.28000000000003
1967-05-01,324.95
1967-06-01,324.075
1967-07-01,322.48
1967-08-01,320.85
1967-09-01,319.3
1967-10-01,319.45
1967-11-01,320.67499999999995
1967-12-01,321.92
1968-01-01,322.55
1968-02-01,323.05
1968-03-01,323.92
1968-04-01,324.975
1968-05-01,325.475
1968-06-01,325.25999999999993
1968-07-01,324.025
1968-08-01,321.93999999999994
1968-09-01,320.25
1968-10-01,320.275
1968-11-01,321.32
1968-12-01,322.92499999999995
1969-01-01,323.92499999999995
1969-02-01,324.275
1969-03-01,325.59999999999997
1969-04-01,326.575
1969-05-01,327.28000000000003
1969-06-01,326.55
1969-07-01,325.79999999999995
1969-08-01,323.53999999999996
1969-09-01,322.4
1969-10-01,321.79999999999995
1969-11-01,322.82
1969-12-01,324.125
1970-01-01,325.08
1970-02-01,326.025
1970-03-01,327.0
1970-04-01,328.075
1970-05-01,327.91999999999996
1970-06-01,327.55
1970-07-01,326.29999999999995
1970-08-01,324.65999999999997
1970-09-01,323.15
1970-10-01,323.14
1970-11-01,324.05
1970-12-01,325.1
1971-01-01,326.14
1971-02-01,326.65
1971-03-01,327.20000000000005
1971-04-01,327.675
1971-05-01,328.82000000000005
1971-06-01,328.475
1971-07-01,327.22
1971-08-01,325.25
1971-09-01,323.4
1971-10-01,323.5400000000001
1971-11-01,324.825
1971-12-01,325.925
1972-01-01,326.72
1972-02-01,327.625
1972-03-01,327.725
1972-04-01,329.64
1972-05-01,330.0
1972-06-01,329.075
1972-07-01,328.0400000000001
1972-08-01,326.25
1972-09-01,324.86
1972-10-01,325.3
1972-11-01,326.425
1972-12-01,327.54
1973-01-01,328.55
1973-02-01,329.475
1973-03-01,330.38
1973-04-01,331.575
1973-05-01,332.4
1973-06-01,331.94000000000005
1973-07-01,330.65
1973-08-01,329.325
1973-09-01,327.5
1973-10-01,327.225
1973-11-01,328.05
1973-12-01,328.64
1974-01-01,329.325
1974-02-01,330.625
1974-03-01,331.5
1974-04-01,332.625
1974-05-01,332.97499999999997
1974-06-01,332.15999999999997
1974-07-01,331.075
1974-08-01,329.21999999999997
1974-09-01,327.375
1974-10-01,327.375
1974-11-01,328.40000000000003
1974-12-01,329.675
1975-01-01,330.25
1975-02-01,331.3
1975-03-01,332.0
1975-04-01,333.275
1975-05-01,333.86
1975-06-01,333.4
1975-07-01,331.8
1975-08-01,329.97999999999996
1975-09-01,328.525
1975-10-01,328.325
1975-11-01,329.43999999999994
1975-12-01,330.775
1976-01-01,331.74
1976-02-01,332.54999999999995
1976-03-01,333.45000000000005
1976-04-01,334.45
1976-05-01,334.76
1976-06-01,334.40000000000003
1976-07-01,332.85999999999996
1976-08-01,330.725
1976-09-01,329.35
1976-10-01,329.1
1976-11-01,330.35
1976-12-01,331.625
1977-01-01,332.88
1977-02-01,333.425
1977-03-01,334.70000000000005
1977-04-01,336.04
1977-05-01,336.675
1977-06-01,336.20000000000005
1977-07-01,334.80000000000007
1977-08-01,332.875
1977-09-01,331.575
1977-10-01,331.2
1977-11-01,332.35
1977-12-01,333.86
1978-01-01,335.025
1978-02-01,335.35
1978-03-01,336.59999999999997
1978-04-01,337.64
1978-05-01,337.95000000000005
1978-06-01,337.92499999999995
1978-07-01,336.5
1978-08-01,334.65000000000003
1978-09-01,332.74
1978-10-01,332.65
1978-11-01,333.825
1978-12-01,334.96
1979-01-01,336.225
1979-02-01,336.7
1979-03-01,337.99999999999994
1979-04-01,338.875
1979-05-01,339.375
1979-06-01,339.23999999999995
1979-07-01,337.525
1979-08-01,336.025
1979-09-01,333.98
1979-10-01,333.95000000000005
1979-11-01,335.15
1979-12-01,336.65999999999997
1980-01-01,337.92499999999995
1980-02-01,338.225
1980-03-01,340.06
1980-04-01,340.75
1980-05-01,341.34000000000003
1980-06-01,340.95000000000005
1980-07-01,339.375
1980-08-01,337.6
1980-09-01,335.875
1980-10-01,336.025
1980-11-01,337.06000000000006
1980-12-01,338.2
1981-01-01,339.21999999999997
1981-02-01,340.45000000000005
1981-03-01,341.4
1981-04-01,342.45
1981-05-01,342.82000000000005
1981-06-01,342.125
1981-07-01,340.425
1981-08-01,338.4
1981-09-01,336.70000000000005
1981-10-01,336.94
1981-11-01,338.425
1981-12-01,339.59999999999997
1982-01-01,340.70000000000005
1982-02-01,341.54999999999995
1982-03-01,342.675
1982-04-01,343.475
1982-05-01,343.96000000000004
1982-06-01,343.29999999999995
1982-07-01,341.91999999999996
1982-08-01,339.625
1982-09-01,338.025
1982-10-01,337.9
1982-11-01,339.275
1982-12-01,340.425
1983-01-01,341.34000000000003
1983-02-01,342.5
1983-03-01,343.15
1983-04-01,344.9
1983-05-01,345.65
1983-06-01,345.275
1983-07-01,343.82
1983-08-01,342.15000000000003
1983-09-01,339.875
1983-10-01,340.02
1983-11-01,341.15
1983-12-01,342.98
1984-01-01,343.67499999999995
1984-02-01,344.42499999999995
1984-03-01,345.17499999999995
1984-04-01,347.4
1984-05-01,347.34999999999997
1984-06-01,346.65999999999997
1984-07-01,345.20000000000005
1984-08-01,343.3
1984-09-01,341.12
1984-10-01,341.475
1984-11-01,342.85
1984-12-01,344.14
1985-01-01,344.925
1985-02-01,345.875
1985-03-01,347.44
1985-04-01,348.325
1985-05-01,348.82500000000005
1985-06-01,348.18
1985-07-01,346.45
1985-08-01,344.3
1985-09-01,343.0
1985-10-01,342.8
1985-11-01,344.22
1985-12-01,345.575
1986-01-01,346.25
1986-02-01,346.825
1986-03-01,347.74
1986-04-01,349.525
1986-05-01,350.08000000000004
1986-06-01,349.375
1986-07-01,347.82500000000005
1986-08-01,345.82000000000005
1986-09-01,344.79999999999995
1986-10-01,344.1
1986-11-01,345.62
1986-12-01,346.875
1987-01-01,348.0
1987-02-01,348.5
1987-03-01,349.475
1987-04-01,350.84999999999997
1987-05-01,351.74
1987-06-01,351.15
1987-07-01,349.45
1987-08-01,348.08000000000004
1987-09-01,346.4
1987-10-01,346.43999999999994
1987-11-01,347.925
1987-12-01,348.925
1988-01-01,350.4
1988-02-01,351.775
1988-03-01,352.125
1988-04-01,353.58000000000004
1988-05-01,354.175
1988-06-01,353.75
1988-07-01,352.21999999999997
1988-08-01,350.29999999999995
1988-09-01,348.75
1988-10-01,348.96
1988-11-01,350.0
1988-12-01,351.35999999999996
1989-01-01,352.775
1989-02-01,353.0
1989-03-01,353.6
1989-04-01,355.36
1989-05-01,355.6
1989-06-01,355.125
1989-07-01,353.86
1989-08-01,351.57500000000005
1989-09-01,349.86
1989-10-01,350.04999999999995
1989-11-01,351.20000000000005
1989-12-01,352.48
1990-01-01,353.65
1990-02-01,354.65000000000003
1990-03-01,355.48
1990-04-01,356.17499999999995
1990-05-01,357.07499999999993
1990-06-01,356.08000000000004
1990-07-01,354.675
1990-08-01,352.9
1990-09-01,350.93999999999994
1990-10-01,351.225
1990-11-01,352.70000000000005
1990-12-01,354.14
1991-01-01,354.675
1991-02-01,355.65
1991-03-01,357.2
1991-04-01,358.6
1991-05-01,359.25
1991-06-01,358.17999999999995
1991-07-01,356.05
1991-08-01,353.86
1991-09-01,352.125
1991-10-01,352.25
1991-11-01,353.73999999999995
1991-12-01,355.025
1992-01-01,355.9
1992-02-01,356.68
1992-03-01,357.9
1992-04-01,359.075
1992-05-01,359.54
1992-06-01,359.125
1992-07-01,357.0
1992-08-01,354.86
1992-09-01,353.02500000000003
1992-10-01,353.42
1992-11-01,354.20000000000005
1992-12-01,355.35
1993-01-01,356.68
1993-02-01,357.17499999999995
1993-03-01,358.425
1993-04-01,359.32500000000005
1993-05-01,360.17999999999995
1993-06-01,359.5
1993-07-01,357.41999999999996
1993-08-01,355.325
1993-09-01,353.775
1993-10-01,354.06
1993-11-01,355.35
1993-12-01,356.775
1994-01-01,358.32
1994-02-01,358.9
1994-03-01,359.925
1994-04-01,361.21999999999997
1994-05-01,361.65
1994-06-01,360.90000000000003
1994-07-01,359.46
1994-08-01,357.375
1994-09-01,355.92499999999995
1994-10-01,356.02
1994-11-01,357.57499999999993
1994-12-01,359.06000000000006
1995-01-01,359.975
1995-02-01,360.925
1995-03-01,361.575
1995-04-01,363.36
1995-05-01,363.70000000000005
1995-06-01,363.24999999999994
1995-07-01,361.8
1995-08-01,359.375
1995-09-01,358.0
1995-10-01,357.85
1995-11-01,359.47499999999997
1995-12-01,360.7
1996-01-01,362.02500000000003
1996-02-01,363.175
1996-03-01,364.06
1996-04-01,364.69999999999993
1996-05-01,365.32500000000005
1996-06-01,364.88
1996-07-01,363.47499999999997
1996-08-01,361.32
1996-09-01,359.4
1996-10-01,359.625
1996-11-01,360.73999999999995
1996-12-01,362.375
1997-01-01,363.125
1997-02-01,363.875
1997-03-01,364.56000000000006
1997-04-01,366.325
1997-05-01,366.67999999999995
1997-06-01,365.475
1997-07-01,364.375
1997-08-01,362.46000000000004
1997-09-01,360.15
1997-10-01,360.75
1997-11-01,362.38
1997-12-01,364.25
1998-01-01,365.34
1998-02-01,366.2
1998-03-01,367.375
1998-04-01,368.525
1998-05-01,369.14
1998-06-01,368.75
1998-07-01,367.59999999999997
1998-08-01,365.72
1998-09-01,363.92499999999995
1998-10-01,364.32000000000005
1998-11-01,365.55
1998-12-01,366.92499999999995
1999-01-01,368.12
1999-02-01,368.85
1999-03-01,369.6
1999-04-01,370.97499999999997
1999-05-01,370.84
1999-06-01,370.25
1999-07-01,369.0
1999-08-01,366.69999999999993
1999-09-01,364.675
1999-10-01,365.14
1999-11-01,366.65
1999-12-01,367.90000000000003
2000-01-01,369.02
2000-02-01,369.375
2000-03-01,370.40000000000003
2000-04-01,371.53999999999996
2000-05-01,371.65
2000-06-01,371.625
2000-07-01,369.94
2000-08-01,367.95000000000005
2000-09-01,366.53999999999996
2000-10-01,366.725
2000-11-01,368.125
2000-12-01,369.44
2001-01-01,370.175
2001-02-01,371.32500000000005
2001-03-01,372.06
2001-04-01,372.77500000000003
2001-05-01,373.79999999999995
2001-06-01,373.06
2001-07-01,371.30000000000007
2001-08-01,369.425
2001-09-01,367.88
2001-10-01,368.05
2001-11-01,369.375
2001-12-01,371.02
